,4,0.7941,5.4339,2.2578,70.061,29.111,,
,5,0.6353,3.6671,0.491,47.2811,6.3311,,
,6,0.5294,3.315,0.1389,42.7413,1.7913,,
,7,0.4538,3.2169,0.0408,41.4762,0.5261,,
,8,0.3971,3.1878,0.0117,41.1007,0.1507,,
,9,0.3529,3.1793,0.0032,40.9911,0.0411,,
,10,0.3176,3.1769,0.0008,40.9606,0.0106,,
,11,0.2888,3.1763,0.0002,40.9526,0.0026,,
,12,0.2647,3.1761,0,40.9506,0.0006,,
,13,0.2443,3.1761,0,40.9502,0.0001,,
,14,0.2269,3.1761,0,40.9501,0,,
,15,0.2118,3.1761,0,40.95,0,,
,16,0.1985,3.1761,0,40.95,0,,
,17,0.1869,3.1761,0,40.95,0,,
,18,0.1765,3.1761,0,40.95,0,,
,19,0.1672,3.1761,0,40.95,0,,
,20,0.1588,3.1761,0,40.95,0,,
